account_id,account_type,initial_balance,bank_id,is_sar
ACCT_00001,corporate,56554.2,BANK_C,1
ACCT_00002,individual,112382.16,BANK_A,0
ACCT_00003,corporate,370593.2,BANK_E,0
ACCT_00004,individual,295655.76,BANK_A,1
ACCT_00005,individual,47753.92,BANK_B,0
ACCT_00006,corporate,301407.35,BANK_E,0
ACCT_00007,individual,358293.79,BANK_E,0
ACCT_00008,business,110999.87,BANK_E,0
ACCT_00009,business,404905.8,BANK_A,1
ACCT_00010,individual,349371.56,BANK_C,0
ACCT_00011,business,78584.27,BANK_C,0
ACCT_00012,individual,47280.18,BANK_A,0
ACCT_00013,business,423899.69,BANK_E,0
ACCT_00014,business,403757.01,BANK_D,0
ACCT_00015,corporate,63288.26,BANK_D,0
ACCT_00016,individual,276468.28,BANK_E,0
ACCT_00017,business,289098.72,BANK_A,0
ACCT_00018,individual,330970.4,BANK_C,0
ACCT_00019,individual,427803.54,BANK_A,0
ACCT_00020,business,139708.83,BANK_C,0
ACCT_00021,individual,185720.3,BANK_B,0
ACCT_00022,corporate,134221.93,BANK_A,0
ACCT_00023,corporate,317854.17,BANK_E,0
ACCT_00024,corporate,123160.65,BANK_D,0
ACCT_00025,business,135703.97,BANK_E,0
ACCT_00026,individual,342622.51,BANK_A,0
ACCT_00027,individual,411079.49,BANK_C,0
ACCT_00028,business,134602.7,BANK_B,0
ACCT_00029,corporate,438307.45,BANK_C,0
ACCT_00030,individual,328063.89,BANK_D,0
ACCT_00031,corporate,229967.07,BANK_C,0
ACCT_00032,individual,124067.13,BANK_E,0
ACCT_00033,corporate,132108.06,BANK_E,0
ACCT_00034,business,449013.62,BANK_D,0
ACCT_00035,business,110441.06,BANK_B,0
ACCT_00036,corporate,247264.4,BANK_A,0
ACCT_00037,individual,77267.82,BANK_B,1
ACCT_00038,corporate,211657.82,BANK_A,0
ACCT_00039,business,191428.02,BANK_D,0
ACCT_00040,corporate,126455.65,BANK_E,0
ACCT_00041,individual,340461.42,BANK_A,0
ACCT_00042,corporate,442509.44,BANK_C,0
ACCT_00043,corporate,170747.56,BANK_C,0
ACCT_00044,business,79920.72,BANK_A,0
ACCT_00045,corporate,438050.62,BANK_C,0
ACCT_00046,corporate,381219.14,BANK_E,0
ACCT_00047,individual,435388.77,BANK_C,1
ACCT_00048,corporate,254323.78,BANK_B,0
ACCT_00049,individual,187583.01,BANK_B,0
ACCT_00050,corporate,476796.37,BANK_E,0
ACCT_00051,individual,299873.35,BANK_D,0
ACCT_00052,individual,56821.99,BANK_C,1
ACCT_00053,business,120486.7,BANK_B,0
ACCT_00054,corporate,473527.77,BANK_A,0
ACCT_00055,corporate,243509.24,BANK_A,0
ACCT_00056,corporate,383151.38,BANK_B,0
ACCT_00057,corporate,238165.91,BANK_E,0
ACCT_00058,individual,133263.26,BANK_E,0
ACCT_00059,business,482217.09,BANK_E,0
ACCT_00060,corporate,345243.95,BANK_C,0
ACCT_00061,business,497579.53,BANK_C,1
ACCT_00062,business,449907.43,BANK_D,0
ACCT_00063,individual,124704.9,BANK_A,0
ACCT_00064,business,11496.1,BANK_E,0
ACCT_00065,individual,294631.62,BANK_A,0
ACCT_00066,individual,354212.63,BANK_A,0
ACCT_00067,individual,34632.76,BANK_A,0
ACCT_00068,business,36357.82,BANK_B,0
ACCT_00069,business,334819.91,BANK_B,1
ACCT_00070,corporate,67023.61,BANK_E,0
ACCT_00071,corporate,236862.84,BANK_D,0
ACCT_00072,business,96014.55,BANK_A,0
