alert_id,account_id,role_in_pattern
ALERT_0001,ACCT_01699,originator
ALERT_0001,ACCT_00263,intermediary
ALERT_0001,ACCT_01210,intermediary
ALERT_0001,ACCT_01329,final_receiver
ALERT_0002,ACCT_01867,originator
ALERT_0002,ACCT_00433,intermediary
ALERT_0002,ACCT_00956,intermediary
ALERT_0002,ACCT_01000,final_receiver
ALERT_0003,ACCT_00061,originator
ALERT_0003,ACCT_00411,intermediary
ALERT_0003,ACCT_01455,final_receiver
ALERT_0004,ACCT_00602,originator
ALERT_0004,ACCT_01599,intermediary
ALERT_0004,ACCT_00570,intermediary
ALERT_0004,ACCT_01227,intermediary
ALERT_0004,ACCT_00775,intermediary
ALERT_0004,ACCT_00830,final_receiver
ALERT_0005,ACCT_01619,originator
ALERT_0005,ACCT_01093,intermediary
ALERT_0005,ACCT_01390,intermediary
ALERT_0005,ACCT_01934,final_receiver
ALERT_0006,ACCT_00858,originator
ALERT_0006,ACCT_01149,intermediary
ALERT_0006,ACCT_00594,intermediary
ALERT_0006,ACCT_01940,intermediary
ALERT_0006,ACCT_01145,intermediary
ALERT_0006,ACCT_01916,final_receiver
ALERT_0007,ACCT_01563,originator
ALERT_0007,ACCT_00733,intermediary
ALERT_0007,ACCT_00493,intermediary
ALERT_0007,ACCT_01228,intermediary
ALERT_0007,ACCT_00751,intermediary
ALERT_0007,ACCT_00278,intermediary
ALERT_0007,ACCT_01517,final_receiver
ALERT_0008,ACCT_00414,originator
ALERT_0008,ACCT_01377,intermediary
ALERT_0008,ACCT_01781,intermediary
ALERT_0008,ACCT_01340,intermediary
ALERT_0008,ACCT_00921,intermediary
ALERT_0008,ACCT_01754,final_receiver
ALERT_0009,ACCT_01359,originator
ALERT_0009,ACCT_00411,intermediary
ALERT_0009,ACCT_01584,final_receiver
ALERT_0010,ACCT_01446,originator
ALERT_0010,ACCT_01382,intermediary
ALERT_0010,ACCT_01018,final_receiver
ALERT_0011,ACCT_01353,originator
ALERT_0011,ACCT_01625,intermediary
ALERT_0011,ACCT_01037,intermediary
ALERT_0011,ACCT_00935,intermediary
ALERT_0011,ACCT_01356,intermediary
ALERT_0011,ACCT_00930,intermediary
ALERT_0011,ACCT_01643,final_receiver
ALERT_0012,ACCT_01422,originator
ALERT_0012,ACCT_00328,intermediary
ALERT_0012,ACCT_01125,intermediary
ALERT_0012,ACCT_01704,intermediary
