alert_id,alert_type,num_accounts,num_transactions,total_amount,start_time,end_time,is_sar
ALERT_0001,cycle,4,4,115880.42,2023-01-03 02:33:08,2023-01-04 13:27:59,1
ALERT_0002,cycle,4,4,123267.12,2023-01-08 16:01:37,2023-01-09 06:02:43,1
ALERT_0003,cycle,3,3,100461.53,2023-01-12 12:41:45,2023-01-13 16:19:33,1
ALERT_0004,cycle,6,6,107259.12,2023-01-17 23:12:00,2023-01-20 05:52:45,1
ALERT_0005,cycle,4,4,56960.72,2023-01-27 08:28:50,2023-01-28 16:11:58,1
ALERT_0006,cycle,6,6,92568.76,2023-01-03 07:25:31,2023-01-05 02:26:31,1
ALERT_0007,cycle,7,7,194583.49,2023-02-01 10:02:30,2023-02-04 22:57:36,1
ALERT_0008,cycle,6,6,166586.04,2023-01-21 20:16:10,2023-01-24 12:40:17,1
ALERT_0009,cycle,3,3,88485.64,2023-01-31 22:08:27,2023-02-01 12:57:04,1
ALERT_0010,cycle,3,3,108881.56,2023-02-13 11:41:10,2023-02-14 12:20:12,1
ALERT_0011,cycle,7,7,169964.33,2023-01-04 01:49:22,2023-01-07 10:43:13,1
ALERT_0012,cycle,6,6,131586.75,2023-02-13 14:18:10,2023-02-14 23:25:00,1
ALERT_0013,fan_out,8,7,145003.05,2023-02-05 18:23:05,2023-02-07 03:29:51,1
ALERT_0014,fan_out,7,6,165738.31,2023-01-11 17:31:01,2023-01-13 04:12:16,1
ALERT_0015,fan_out,7,6,208783.34,2023-02-14 18:28:49,2023-02-14 23:01:00,1
ALERT_0016,fan_out,10,9,199448.42,2023-01-22 19:03:36,2023-01-24 13:46:30,1
ALERT_0017,fan_out,5,4,121447.2,2023-01-03 02:28:50,2023-01-03 20:25:45,1
ALERT_0018,fan_out,5,4,69663.41,2023-01-31 23:36:50,2023-02-01 15:45:48,1
ALERT_0019,fan_out,3,2,68829.96,2023-01-24 00:39:30,2023-01-24 08:23:34,1
ALERT_0020,fan_out,5,4,88813.33,2023-01-20 17:28:31,2023-01-21 03:27:50,1
ALERT_0021,fan_out,10,9,136605.05,2023-01-24 01:21:45,2023-01-26 06:24:38,1
ALERT_0022,fan_out,8,7,192716.96,2023-01-13 11:56:00,2023-01-15 03:22:39,1
ALERT_0023,fan_out,8,7,144855.25,2023-01-20 23:04:05,2023-01-22 20:51:23,1
ALERT_0024,fan_out,8,7,122006.41,2023-01-14 00:26:14,2023-01-15 21:16:03,1
ALERT_0025,fan_out,8,7,161703.85,2023-02-12 19:35:38,2023-02-14 13:46:12,1
ALERT_0026,fan_out,10,9,216735.62,2023-01-18 20:26:52,2023-01-21 02:32:07,1
ALERT_0027,fan_out,3,2,40603.06,2023-01-28 01:10:40,2023-01-28 12:48:12,1
ALERT_0028,fan_in,4,3,43729.05,2023-01-24 04:33:09,2023-01-24 21:48:27,1
ALERT_0029,fan_in,3,2,16509.76,2023-02-10 21:48:17,2023-02-11 04:08:42,1
ALERT_0030,fan_in,7,6,184295.8,2023-02-03 08:21:39,2023-02-05 04:28:17,1
ALERT_0031,fan_in,4,3,91108.06,2023-01-26 13:52:02,2023-01-27 05:54:22,1
ALERT_0032,fan_in,7,6,160317.35,2023-02-02 17:24:31,2023-02-03 23:59:39,1
ALERT_0033,fan_in,5,4,112909.21,2023-02-07 22:54:11,2023-02-09 00:21:33,1
ALERT_0034,fan_in,6,5,122374.44,2023-01-03 13:55:39,2023-01-04 12:43:07,1
ALERT_0035,fan_in,6,5,132136.98,2023-01-11 04:11:55,2023-01-12 00:48:28,1
ALERT_0036,fan_in,8,7,150368.94,2023-01-01 14:23:12,2023-01-03 06:10:00,1
ALERT_0037,fan_in,9,8,237517.53,2023-01-19 15:58:11,2023-01-21 04:38:18,1
ALERT_0038,fan_in,5,4,70137.93,2023-01-21 10:41:53,2023-01-22 05:09:10,1
ALERT_0039,fan_in,10,9,248741.68,2023-01-13 16:25:27,2023-01-15 12:03:08,1
ALERT_0040,fan_in,3,2,32763.76,2023-01-11 08:53:52,2023-01-11 12:16:36,1
ALERT_0041,fan_in,3,2,71794.81,2023-01-25 13:57:27,2023-01-25 19:50:55,1
ALERT_0042,fan_in,6,5,101210.6,2023-01-06 23:54:37,2023-01-07 15:34:05,1
ALERT_0043,gather_scatter,7,6,184033.74,2023-01-09 09:38:14,2023-01-10 11:57:42,1
ALERT_0044,gather_scatter,5,4,73665.42,2023-01-21 19:05:27,2023-01-22 23:31:32,1
ALERT_0045,gather_scatter,8,7,179955.64,2023-01-29 18:05:11,2023-01-31 01:16:38,1
ALERT_0046,gather_scatter,11,10,233925.39,2023-02-05 02:41:22,2023-02-06 18:08:52,1
ALERT_0047,gather_scatter,6,5,139192.89,2023-02-06 10:53:52,2023-02-07 03:28:38,1
ALERT_0048,gather_scatter,7,6,168530.43,2023-01-05 20:17:40,2023-01-07 10:46:26,1
ALERT_0049,gather_scatter,9,8,195843.13,2023-02-09 10:41:44,2023-02-11 00:19:59,1
ALERT_0050,gather_scatter,11,10,276953.08,2023-02-02 11:57:34,2023-02-04 12:19:49,1
ALERT_0051,gather_scatter,11,10,332132.91,2023-02-11 05:56:31,2023-02-12 18:42:39,1
ALERT_0052,gather_scatter,12,11,187159.19,2023-02-12 15:04:13,2023-02-14 12:22:51,1
