tx_id,from_id,to_id,tx_type,amount,timestamp,is_sar,alert_id
1,ACCT_00290,ACCT_00259,CASH,2489.76,2023-01-01 00:03:56,0,
2,ACCT_00909,ACCT_00082,WIRE,2055.45,2023-01-01 00:15:59,0,
3,ACCT_01296,ACCT_01562,TRANSFER,3703.66,2023-01-01 00:29:29,0,
4,ACCT_01649,ACCT_00379,TRANSFER,2391.03,2023-01-01 00:34:12,0,
5,ACCT_00506,ACCT_00656,TRANSFER,916.94,2023-01-01 00:34:43,0,
6,ACCT_01234,ACCT_01385,ACH,4837.61,2023-01-01 00:43:47,0,
7,ACCT_01093,ACCT_01865,ACH,1151.18,2023-01-01 00:51:25,0,
8,ACCT_01242,ACCT_01211,ACH,1492.83,2023-01-01 01:23:30,0,
9,ACCT_01831,ACCT_01070,ACH,3043.54,2023-01-01 01:32:17,0,
10,ACCT_01846,ACCT_01741,ACH,474.84,2023-01-01 01:35:25,0,
11,ACCT_01775,ACCT_00030,CASH,4514.29,2023-01-01 01:36:33,0,
12,ACCT_00173,ACCT_01981,ACH,3246.13,2023-01-01 01:39:23,0,
13,ACCT_01249,ACCT_00477,CASH,4896.5,2023-01-01 01:42:26,0,
14,ACCT_01141,ACCT_00122,CASH,486.5,2023-01-01 01:52:01,0,
15,ACCT_00320,ACCT_01464,CHECK,791.4,2023-01-01 01:55:11,0,
16,ACCT_01872,ACCT_01417,WIRE,3235.75,2023-01-01 02:12:40,0,
17,ACCT_01238,ACCT_00998,TRANSFER,3022.48,2023-01-01 02:13:35,0,
18,ACCT_01987,ACCT_01626,WIRE,4959.27,2023-01-01 02:15:15,0,
19,ACCT_00031,ACCT_00380,WIRE,886.89,2023-01-01 02:16:53,0,
20,ACCT_00565,ACCT_00182,TRANSFER,2100.55,2023-01-01 02:21:24,0,
21,ACCT_00084,ACCT_00455,CHECK,1202.51,2023-01-01 02:25:49,0,
22,ACCT_01654,ACCT_00301,TRANSFER,1831.78,2023-01-01 02:25:53,0,
23,ACCT_00833,ACCT_01316,ACH,3261.97,2023-01-01 02:29:00,0,
24,ACCT_01884,ACCT_00774,ACH,742.06,2023-01-01 02:38:24,0,
25,ACCT_01049,ACCT_00547,CASH,3744.46,2023-01-01 02:43:47,0,
26,ACCT_00596,ACCT_01116,CASH,755.24,2023-01-01 02:52:58,0,
27,ACCT_01714,ACCT_01660,CASH,2314.11,2023-01-01 02:57:02,0,
28,ACCT_00899,ACCT_01120,TRANSFER,1359.33,2023-01-01 02:57:44,0,
29,ACCT_01350,ACCT_00747,WIRE,3143.46,2023-01-01 03:00:01,0,
30,ACCT_00130,ACCT_01338,TRANSFER,4896.47,2023-01-01 03:28:11,0,
31,ACCT_01242,ACCT_01815,WIRE,2185.67,2023-01-01 03:29:09,0,
32,ACCT_01600,ACCT_01664,TRANSFER,2705.24,2023-01-01 03:34:19,0,
33,ACCT_00213,ACCT_01402,WIRE,39.45,2023-01-01 03:41:40,0,
34,ACCT_00912,ACCT_01594,TRANSFER,4385.97,2023-01-01 03:42:17,0,
35,ACCT_01083,ACCT_01385,CHECK,2617.71,2023-01-01 03:44:24,0,
36,ACCT_00035,ACCT_00937,CHECK,4580.84,2023-01-01 03:47:20,0,
37,ACCT_01877,ACCT_00490,TRANSFER,1313.78,2023-01-01 03:53:17,0,
