account_id,linked_customer_id,bank_id,first_seen_timestamp,last_seen_timestamp,real_txn_count,synthetic_txn_count,total_transaction_count,background_real_laundering_count
800056370,800056370,1,2022/09/01 00:04,2022/09/10 23:42,132,12,144,0
800056660,800056660,10,2022/09/01 00:00,2022/09/10 20:56,138,1,139,0
800056A50,800056A50,1,2022/09/01 02:03,2022/09/10 17:57,107,20,127,0
800056CB0,800056CB0,1,2022/09/01 00:02,2022/09/15 08:33,114,24,138,0
800056E00,800056E00,12,2022/09/01 00:02,2022/09/10 19:51,124,3,127,0
800057020,800057020,1,2022/09/01 01:46,2022/09/10 23:21,210,5,215,0
8000573C0,8000573C0,10,2022/09/01 01:38,2022/09/15 09:09,220,8,228,0
800057620,800057620,1,2022/09/01 00:03,2022/09/16 07:11,75,4,79,1
800057A10,800057A10,1,2022/09/01 00:00,2022/09/10 22:29,123,50,173,0
800057D40,800057D40,1,2022/09/01 00:02,2022/09/10 21:20,206,8,214,0
800057D41,800057D41,1,2022/09/02 07:58,2022/09/12 09:32,1,1,2,0
800058100,800058100,10,2022/09/01 00:00,2022/09/12 22:33,106,4,110,0
800058470,800058470,23,2022/09/01 00:05,2022/09/17 15:10,255,2,257,1
8000588D0,8000588D0,10,2022/09/01 00:05,2022/09/16 04:31,169,6,175,0
800058920,800058920,10,2022/09/01 00:17,2022/09/10 23:19,279,3,282,0
800058B80,800058B80,1,2022/09/01 00:08,2022/09/15 20:21,351,1,352,0
800058F40,800058F40,10,2022/09/01 04:18,2022/09/15 22:53,145,1,146,0
800059230,800059230,12,2022/09/01 00:25,2022/09/16 01:20,180,1,181,0
800059440,800059440,1,2022/09/01 00:28,2022/09/17 07:00,189,20,209,1
800059840,800059840,10,2022/09/01 00:02,2022/09/10 12:34,104,6,110,0
800059C00,800059C00,1,2022/09/01 00:03,2022/09/10 14:55,149,5,154,2
800059F50,800059F50,10,2022/09/01 00:06,2022/09/10 20:27,186,1,187,0
80005A2A0,80005A2A0,12,2022/09/01 00:13,2022/09/10 22:47,234,4,238,0
80005A6B0,80005A6B0,20,2022/09/01 00:09,2022/09/10 10:53,111,0,111,0
80005AB30,80005AB30,1,2022/09/01 00:02,2022/09/10 22:21,132,0,132,0
80005AD90,80005AD90,10,2022/09/01 00:00,2022/09/10 03:42,170,0,170,0
80005ADE0,80005ADE0,10,2022/09/01 00:05,2022/09/10 13:52,278,3,281,0
80005B110,80005B110,10,2022/09/01 00:06,2022/09/10 16:51,125,5,130,1
80005B3E0,80005B3E0,12,2022/09/01 02:07,2022/09/10 10:44,69,0,69,0
80005B5F0,80005B5F0,12,2022/09/01 00:01,2022/09/16 23:21,96,2,98,0
80005B9B0,80005B9B0,1,2022/09/01 00:01,2022/09/10 19:59,189,3,192,0
80005BD00,80005BD00,10,2022/09/01 03:37,2022/09/10 05:23,207,0,207,1
80005C050,80005C050,1,2022/09/01 00:07,2022/09/10 23:20,173,0,173,0
80005C0A0,80005C0A0,1,2022/09/01 00:00,2022/09/10 15:58,138,1,139,0
80005C0A1,80005C0A1,1,2022/09/01 00:15,2022/09/02 08:23,1,3,4,0
80005C3D0,80005C3D0,1,2022/09/01 02:00,2022/09/14 22:36,163,1,164,0
80005C790,80005C790,1,2022/09/01 00:09,2022/09/10 14:22,211,0,211,0
80005CB50,80005CB50,10,2022/09/01 00:01,2022/09/10 19:07,165,3,168,0
80005CF10,80005CF10,10,2022/09/01 00:07,2022/09/10 17:40,138,0,138,0
800067BB0,,22,2022/09/01 00:22,2022/09/14 00:40,114,1,115,0
800067DC0,,22,2022/09/01 03:22,2022/09/14 22:36,121,2,123,0
800068890,,23,2022/09/01 00:09,2022/09/10 21:21,148,1,149,0
800068B80,,11,2022/09/01 00:37,2022/09/14 21:57,163,2,165,0
800068E90,,20,2022/09/01 05:04,2022/09/14 06:12,130,1,131,0
800069180,,3,2022/09/01 00:12,2022/09/15 07:00,155,1,156,0
8000691D0,,3,2022/09/01 00:01,2022/09/10 16:59,56,1,57,0
800069740,,3,2022/09/01 00:04,2022/09/17 06:58,183,1,184,0
800069DD0,,4,2022/09/01 00:07,2022/09/13 10:08,114,1,115,0
80006A5E0,,20,2022/09/01 00:13,2022/09/10 21:37,169,1,170,1
80006A8B0,,3,2022/09/01 00:01,2022/09/10 10:56,198,2,200,0
80006B030,,20,2022/09/01 00:00,2022/09/10 19:56,198,1,199,0
80006B080,,20,2022/09/01 00:00,2022/09/10 14:50,137,2,139,0
80006B780,,14,2022/09/01 00:13,2022/09/10 20:18,132,2,134,0
80006C1F0,,7,2022/09/01 01:00,2022/09/17 06:41,132,1,133,0
80006C890,,12,2022/09/01 00:03,2022/09/15 14:30,180,2,182,0
80006CB30,,3,2022/09/01 00:08,2022/09/10 17:25,104,1,105,0
80006CD90,,3,2022/09/01 00:24,2022/09/10 20:27,127,1,128,0
80006E160,,3,2022/09/01 00:05,2022/09/14 15:49,103,3,106,0
80006EA80,,20,2022/09/01 00:02,2022/09/10 18:30,54,1,55,0
80006F380,,14,2022/09/01 00:08,2022/09/10 14:15,130,2,132,0
80006F5E0,,20,2022/09/01 00:18,2022/09/10 23:14,44,2,46,0
80006F9C0,,20,2022/09/01 02:38,2022/09/17 06:57,174,1,175,0
80006FCE0,,14,2022/09/01 00:04,2022/09/17 15:10,297,1,298,0
800070010,,3,2022/09/01 00:09,2022/09/10 15:23,72,1,73,0
800070290,,20,2022/09/01 00:04,2022/09/14 17:25,128,1,129,0
800070610,,4,2022/09/01 00:10,2022/09/10 23:50,109,1,110,0
800070870,,14,2022/09/01 00:09,2022/09/14 19:42,24,1,25,0
800070AD0,,14,2022/09/01 00:21,2022/09/10 19:28,212,1,213,0
800071150,,20,2022/09/01 05:36,2022/09/15 09:09,82,1,83,0
800071A10,,4,2022/09/01 03:03,2022/09/12 22:33,142,2,144,0
800071D30,,20,2022/09/01 00:00,2022/09/08 10:08,3,1,4,0
800072080,,20,2022/09/01 00:24,2022/09/17 06:59,98,2,100,0
800072350,,3,2022/09/01 00:24,2022/09/14 05:14,174,1,175,0
800072710,,3,2022/09/01 00:23,2022/09/10 16:50,45,1,46,0
800072EF0,,4,2022/09/01 03:01,2022/09/10 23:48,103,1,104,1
800072F40,,4,2022/09/01 00:08,2022/09/17 06:42,107,1,108,0
800073360,,24,2022/09/01 00:00,2022/09/09 17:28,104,1,105,0
800073750,,15,2022/09/01 09:49,2022/09/17 06:40,67,1,68,0
800073AF0,,24,2022/09/01 00:02,2022/09/10 21:45,143,1,144,0
8000746C0,,15,2022/09/01 00:12,2022/09/14 11:15,137,2,139,1
8000748D0,,15,2022/09/01 00:01,2022/09/15 00:25,88,3,91,0
8000748D1,,15,2022/09/02 01:48,2022/09/17 07:00,1,1,2,0
800075050,,15,2022/09/01 00:04,2022/09/10 21:22,95,1,96,0
8000750A0,,15,2022/09/01 00:21,2022/09/15 01:03,48,1,49,0
800075700,,21,2022/09/01 06:38,2022/09/14 12:52,102,1,103,0
800075C50,,21,2022/09/01 00:03,2022/09/17 06:54,151,1,152,0
800075FF0,,15,2022/09/01 02:25,2022/09/14 13:01,82,1,83,0
8000763B0,,15,2022/09/01 00:09,2022/09/17 06:53,94,2,96,0
800076AD0,,15,2022/09/01 00:25,2022/09/14 03:42,125,1,126,0
800076E90,,15,2022/09/01 00:04,2022/09/16 23:21,79,1,80,0
8000776E0,,21,2022/09/01 00:12,2022/09/10 12:44,207,1,208,0
800077AA0,,15,2022/09/01 00:23,2022/09/10 14:58,97,1,98,0
800078B20,,21,2022/09/01 00:03,2022/09/17 06:54,142,1,143,0
800078E70,,21381,2022/09/01 01:19,2022/09/09 03:40,30,2,32,0
800078F80,,3,2022/09/01 00:05,2022/09/09 11:29,10,1,11,0
800079600,,15,2022/09/01 00:07,2022/09/10 22:18,99,1,100,0
800079650,,15,2022/09/01 00:00,2022/09/10 14:23,79,3,82,0
800079C00,,21,2022/09/01 00:12,2022/09/10 21:48,69,1,70,0
80007A1D0,,15,2022/09/01 05:31,2022/09/16 05:40,84,2,86,0
80007AA30,,24,2022/09/01 00:09,2022/09/10 20:15,122,2,124,0
80007BF00,,15,2022/09/01 00:13,2022/09/17 06:30,89,3,92,0
80007C2C0,,24,2022/09/01 00:01,2022/09/15 22:53,117,1,118,0
80007C540,,15,2022/09/01 03:22,2022/09/10 05:55,88,1,89,0
80007C890,,15,2022/09/01 01:17,2022/09/13 23:30,159,1,160,0
80007D510,,3,2022/09/01 08:52,2022/09/10 03:44,58,1,59,0
80007E0F0,,7,2022/09/01 00:15,2022/09/10 01:54,59,1,60,0
80007E510,,7,2022/09/01 00:09,2022/09/17 06:41,79,2,81,0
80007E720,,6,2022/09/01 00:01,2022/09/10 22:45,133,1,134,0
80007EA70,,6,2022/09/01 00:18,2022/09/10 23:50,183,1,184,0
80007F290,,16,2022/09/01 00:19,2022/09/10 20:20,208,1,209,0
80007F8C0,,12,2022/09/01 00:00,2022/09/16 04:31,127,3,130,0
80007FDD0,,12,2022/09/01 00:00,2022/09/10 19:07,57,1,58,0
8000803F0,,7,2022/09/01 00:08,2022/09/10 18:28,137,1,138,0
800080670,,7,2022/09/01 01:30,2022/09/09 14:29,23,2,25,0
800080880,,6,2022/09/01 00:01,2022/09/10 08:49,112,1,113,0
800081670,,3,2022/09/01 00:04,2022/09/10 16:54,111,1,112,0
8000816C0,,3,2022/09/01 00:17,2022/09/10 06:29,134,2,136,0
800081920,,12,2022/09/01 07:05,2022/09/13 23:10,82,2,84,0
800081970,,12,2022/09/01 00:03,2022/09/10 08:26,125,1,126,0
800081CA0,,7,2022/09/01 00:08,2022/09/10 02:59,71,1,72,0
800082060,,6,2022/09/01 03:42,2022/09/09 22:19,75,1,76,0
8000823F0,,16,2022/09/01 04:07,2022/09/10 13:09,196,2,198,0
800082630,,21258,2022/09/01 00:18,2022/09/16 06:09,23,2,25,0
800082B40,,16,2022/09/01 00:07,2022/09/14 18:50,51,1,52,0
800082ED0,,12,2022/09/01 00:27,2022/09/15 21:30,52,1,53,0
800083220,,7,2022/09/01 00:16,2022/09/17 06:49,132,1,133,0
8000837F0,,7,2022/09/01 00:28,2022/09/10 16:15,88,1,89,0
800083E30,,6,2022/09/01 05:21,2022/09/16 07:11,45,4,49,0
8000841A0,,71,2022/09/01 00:00,2022/09/14 17:31,78,2,80,0
800084E50,,12,2022/09/01 05:12,2022/09/10 20:25,120,1,121,0
8000851A0,,7,2022/09/01 00:03,2022/09/10 15:51,122,2,124,0
800085BF0,800085BF0,115,2022/09/01 00:01,2022/09/14 21:05,175,2,177,0
8000866B0,,29,2022/09/01 00:04,2022/09/10 21:22,114,1,115,0
800086DC0,,29,2022/09/01 01:40,2022/09/14 14:18,167,1,168,0
800087390,,10,2022/09/01 00:02,2022/09/16 06:36,76,2,78,0
800087A50,,7,2022/09/01 00:36,2022/09/15 20:21,112,3,115,0
800087DA0,,71,2022/09/01 00:20,2022/09/10 21:53,82,1,83,0
800088440,,9,2022/09/01 00:03,2022/09/10 22:29,109,1,110,0
800088EB0,,28,2022/09/01 00:03,2022/09/09 22:12,24,1,25,0
8000890A0,,28,2022/09/01 00:16,2022/09/17 06:51,119,1,120,0
80008A071,,9,2022/09/01 18:18,2022/09/09 13:53,7,1,8,0
80008A3F0,,9,2022/09/01 01:08,2022/09/16 01:20,155,2,157,0
80008A610,,10,2022/09/01 00:08,2022/09/10 17:29,130,1,131,0
80008A830,,4,2022/09/01 00:03,2022/09/12 18:52,132,2,134,0
80008AA20,,10,2022/09/01 00:02,2022/09/09 09:22,42,1,43,0
80008AC30,,7,2022/09/01 00:14,2022/09/10 14:21,36,1,37,0
80008AEB0,,28,2022/09/01 00:04,2022/09/10 00:17,59,1,60,0
80008AF00,,28,2022/09/01 00:19,2022/09/10 05:59,86,1,87,0
80008B0F0,,28,2022/09/01 03:01,2022/09/17 06:37,110,3,113,0
80008B2E0,,7,2022/09/01 00:05,2022/09/14 23:25,124,1,125,0
80008BA40,,10,2022/09/01 03:15,2022/09/10 23:30,106,2,108,0
80008BD30,,7,2022/09/01 00:05,2022/09/15 05:35,72,1,73,0
80008C690,,10,2022/09/01 00:02,2022/09/17 06:36,134,2,136,0
80008C980,,7,2022/09/01 00:04,2022/09/10 12:48,55,1,56,0
80008DDF0,,9,2022/09/01 00:08,2022/09/10 14:17,205,1,206,0
80008E500,,10,2022/09/01 00:29,2022/09/17 06:35,65,1,66,0
80008E550,,10,2022/09/01 00:05,2022/09/10 08:06,136,1,137,0
80008E7B0,,9,2022/09/01 00:14,2022/09/15 08:33,73,2,75,0
80008F6B0,,9,2022/09/01 00:02,2022/09/10 02:51,71,1,72,0
80008FA70,,9,2022/09/01 00:18,2022/09/10 09:48,88,1,89,0
80008FE30,,4,2022/09/01 00:29,2022/09/10 21:36,87,1,88,0
800090560,,287,2022/09/01 00:00,2022/09/10 08:23,138,1,139,0
800090F60,,9,2022/09/01 04:41,2022/09/10 22:51,129,1,130,0
800091320,,7,2022/09/01 00:12,2022/09/10 23:46,102,1,103,0
8000915E0,,287,2022/09/01 00:03,2022/09/10 15:51,87,1,88,0
8000919A0,,10,2022/09/01 00:14,2022/09/14 02:07,63,1,64,0
800091C60,800091C60,9,2022/09/01 02:12,2022/09/10 19:24,71,1,72,0
800091EE0,,212,2022/09/01 11:17,2022/09/15 02:29,92,4,96,1
8000924D0,,26,2022/09/01 03:05,2022/09/10 22:50,157,1,158,0
800092E40,,212,2022/09/01 00:14,2022/09/12 09:32,127,2,129,0
800093890,,26,2022/09/01 00:12,2022/09/17 06:33,116,5,121,0
800093C80,800093C80,5,2022/09/01 00:20,2022/09/14 14:40,152,2,154,2
800093EE0,,212,2022/09/01 02:05,2022/09/10 20:52,164,1,165,0
800094540,,5,2022/09/01 02:01,2022/09/09 23:26,58,1,59,0
800094FC0,,212,2022/09/01 00:03,2022/09/10 19:59,157,1,158,0
8000966F0,,26,2022/09/01 00:17,2022/09/10 21:24,138,1,139,0
800096DD0,,5,2022/09/01 00:14,2022/09/10 13:17,79,1,80,0
800096FE0,,5,2022/09/02 22:58,2022/09/15 04:05,6,1,7,0
800097520,,211,2022/09/01 00:15,2022/09/10 18:38,49,2,51,0
800097FF0,,212,2022/09/01 00:24,2022/09/09 18:27,35,1,36,0
800098200,,212,2022/09/01 01:34,2022/09/17 06:38,240,3,243,0
8000991D0,,212,2022/09/01 00:01,2022/09/15 02:33,70,1,71,0
800099520,,5,2022/09/01 00:22,2022/09/10 22:29,122,3,125,0
800099810,,212,2022/09/01 00:12,2022/09/10 13:20,68,1,69,0
800099E80,,212,2022/09/01 00:10,2022/09/10 16:08,190,1,191,0
80009A680,,5,2022/09/01 01:08,2022/09/10 14:18,159,2,161,0
80009A9D0,,5,2022/09/01 00:09,2022/09/17 06:41,154,3,157,0
80009B0E0,,26,2022/09/01 00:10,2022/09/13 16:54,39,1,40,0
80009B470,,26,2022/09/01 00:04,2022/09/17 13:36,193,1,194,0
80009B830,,211,2022/09/01 06:34,2022/09/10 13:52,155,1,156,0
8000EBD30,,10,2022/09/01 00:20,2022/09/10 00:11,15,0,15,0
80010C060,80010C060,1,2022/09/01 00:04,2022/09/09 08:54,34,0,34,0
8001C3570,8001C3570,10,2022/09/01 00:06,2022/09/14 21:05,164,2,166,0
8001E34C0,,1292,2022/09/01 04:01,2022/09/10 03:24,58,1,59,0
80021DC50,80021DC50,1522,2022/09/01 00:01,2022/09/10 12:50,62,0,62,0
800256E00,,410,2022/09/01 15:53,2022/09/10 20:29,44,0,44,0
80026A5A0,80026A5A0,1420,2022/09/01 04:45,2022/09/10 21:24,124,1,125,0
8002807E0,8002807E0,12,2022/09/01 00:21,2022/09/10 20:29,47,0,47,0
8002C56D0,8002C56D0,3553,2022/09/01 00:28,2022/09/01 00:28,1,0,1,0
80035F420,,410,2022/09/01 08:47,2022/09/10 23:56,138,2,140,0
8003BF6E0,,1,2022/09/01 00:35,2022/09/09 16:51,27,0,27,0
8003C24D0,8003C24D0,1292,2022/09/01 00:15,2022/09/09 22:09,32,0,32,0
8003F7BD0,8003F7BD0,10,2022/09/01 00:04,2022/09/01 00:04,1,0,1,0
800425630,800425630,3630,2022/09/01 16:54,2022/09/01 16:54,1,0,1,0
8004473E0,8004473E0,1490,2022/09/01 00:11,2022/09/01 00:11,1,0,1,0
800456880,800456880,3794,2022/09/02 22:10,2022/09/09 22:08,2,0,2,0
800489210,800489210,2843,2022/09/01 00:11,2022/09/10 17:58,191,0,191,0
8004B6050,8004B6050,10,2022/09/01 00:35,2022/09/10 23:47,180,0,180,0
8004C74E0,,220,2022/09/01 00:15,2022/09/09 00:52,5,0,5,0
8004FE3E0,8004FE3E0,20,2022/09/01 00:29,2022/09/10 09:54,93,0,93,0
80053CFC0,80053CFC0,1490,2022/09/01 00:25,2022/09/10 06:52,37,0,37,0
8005692B0,,2591,2022/09/01 00:08,2022/09/10 13:27,28,0,28,0
800595290,,3905,2022/09/02 08:49,2022/09/09 04:08,2,0,2,0
8005A18F0,,3619,2022/09/01 00:16,2022/09/01 00:16,1,0,1,0
800619E80,,12,2022/09/01 00:22,2022/09/10 19:28,22,0,22,0
80063DE20,80063DE20,3579,2022/09/01 12:26,2022/09/01 12:26,1,0,1,0
80068E7D0,,701,2022/09/01 02:31,2022/09/10 05:24,75,0,75,0
8006E2E40,,11157,2022/09/01 00:00,2022/09/09 04:02,7,0,7,0
80075D5E0,,1688,2022/09/01 06:06,2022/09/10 13:43,91,0,91,0
800793180,800793180,1601,2022/09/01 00:03,2022/09/09 06:52,7,0,7,0
80084B380,80084B380,3322,2022/09/01 00:11,2022/09/01 00:11,1,0,1,0
8008CE991,,1124,2022/09/01 18:06,2022/09/01 18:06,1,0,1,0
8009083C0,,908,2022/09/02 18:57,2022/09/09 01:16,2,0,2,0
800925110,800925110,3352,2022/09/02 09:32,2022/09/09 23:41,2,0,2,0
800970B80,,1547,2022/09/01 03:31,2022/09/09 11:50,4,0,4,0
8009A4370,8009A4370,1502,2022/09/01 00:00,2022/09/10 06:54,97,0,97,0
8009B45E0,8009B45E0,2591,2022/09/01 00:09,2022/09/10 07:21,66,0,66,0
800A52F40,800A52F40,1665,2022/09/01 01:57,2022/09/10 17:02,12,0,12,0
800A57770,,3244,2022/09/02 14:30,2022/09/09 14:31,2,0,2,0
800AA9E00,800AA9E00,1669,2022/09/01 00:14,2022/09/09 21:39,8,0,8,0
800B10F80,,31535,2022/09/02 14:24,2022/09/09 02:58,2,0,2,0
800B28B60,,31924,2022/09/01 00:18,2022/09/01 00:18,1,0,1,0
800B3A9C0,800B3A9C0,2915,2022/09/01 02:40,2022/09/10 21:21,90,0,90,0
800B620B0,800B620B0,11471,2022/09/01 00:27,2022/09/10 22:23,25,0,25,0
800B95320,800B95320,11056,2022/09/01 00:15,2022/09/09 02:41,22,0,22,0
800BBD220,800BBD220,11107,2022/09/01 00:06,2022/09/09 16:27,34,0,34,0
800BED3C0,800BED3C0,3727,2022/09/01 00:09,2022/09/01 00:09,1,0,1,0
800C03640,,32084,2022/09/01 04:44,2022/09/01 04:44,1,0,1,0
800C45CA0,800C45CA0,21550,2022/09/01 02:13,2022/09/10 06:56,28,0,28,0
