account_id,cluster_label,cluster_size,is_outlier
100428660,-1,1,True
1004286A8,-1,1,True
1004286F0,0,8,False
100428738,-1,1,True
100428780,1,6,False
1004287C8,2,8,False
100428810,-1,1,True
1004288A0,3,8,False
100428930,4,9,False
100428978,-1,1,True
1004289C0,5,7,False
800042CB0,6,24,False
800056370,7,13,False
800056660,8,10,False
800056A50,9,22,False
800056CB0,10,25,False
800056E00,11,12,False
800057020,12,15,False
8000573C0,13,20,False
800057620,-1,1,True
800057A10,14,31,False
800057D40,15,17,False
800057D41,-1,1,True
800058100,16,9,False
800058470,17,17,False
8000588D0,18,14,False
800058920,19,17,False
800058B80,20,18,False
800058F40,21,11,False
800059230,22,12,False
800059440,6,24,False
800059840,23,16,False
800059C00,24,14,False
800059F50,25,11,False
80005A2A0,26,15,False
80005A6B0,27,8,False
80005AB30,28,10,False
80005AD90,29,16,False
80005ADE0,30,17,False
80005B110,31,11,False
80005B3E0,32,14,False
80005B5F0,33,7,False
80005B9B0,34,16,False
80005BD00,35,15,False
80005C050,36,12,False
80005C0A0,37,7,False
80005C0A1,38,5,False
80005C3D0,39,7,False
80005C790,40,11,False
80005CB50,41,17,False
80005CF10,42,13,False
8000625C0,27,8,False
800066070,27,8,False
800067BB0,10,25,False
800067DC0,-1,1,True
800068890,24,14,False
800068B80,-1,1,True
800068E90,13,20,False
800069180,10,25,False
8000691D0,14,31,False
800069740,6,24,False
800069DD0,13,20,False
80006A5E0,19,17,False
80006A8B0,-1,1,True
80006B030,9,22,False
80006B080,-1,1,True
80006B780,-1,1,True
80006C1F0,6,24,False
80006C890,-1,1,True
80006CB30,12,15,False
80006CD90,15,17,False
80006E160,-1,1,True
80006E370,43,5,False
80006EA80,9,22,False
80006F380,14,31,False
80006F5E0,9,22,False
80006F9C0,6,24,False
80006FCE0,17,17,False
800070010,14,31,False
800070290,125,6,False
800070610,14,31,False
800070870,13,20,False
800070AD0,14,31,False
800071150,13,20,False
800071A10,-1,1,True
800071D30,31,11,False
800072080,-1,1,True
800072350,10,25,False
800072710,14,31,False
800072EF0,30,17,False
800072F40,6,24,False
800073360,14,31,False
800073750,6,24,False
800073AF0,9,22,False
8000746C0,-1,1,True
8000748D0,-1,1,True
8000748D1,6,24,False
800075050,7,13,False
8000750A0,10,25,False
800075700,10,25,False
800075C50,6,24,False
800075FF0,13,20,False
8000763B0,-1,1,True
800076AD0,10,25,False
800076E90,33,7,False
8000776E0,14,31,False
800077AA0,23,16,False
800078B20,6,24,False
800078E70,-1,1,True
800078F80,14,31,False
800079600,23,16,False
800079650,-1,1,True
800079C00,14,31,False
80007A1D0,-1,1,True
80007AA30,-1,1,True
80007BF00,-1,1,True
80007C2C0,21,11,False
80007C540,19,17,False
80007C890,13,20,False
80007D510,24,14,False
80007E0F0,24,14,False
80007E510,-1,1,True
80007E720,14,31,False
80007EA70,30,17,False
80007F290,14,31,False
80007F8C0,-1,1,True
80007FDD0,41,17,False
8000803F0,15,17,False
800080670,-1,1,True
800080880,23,16,False
800081670,15,17,False
8000816C0,44,12,False
800081920,-1,1,True
800081970,7,13,False
800081CA0,11,12,False
800082060,15,17,False
8000823F0,14,31,False
800082630,-1,1,True
800082B40,10,25,False
800082ED0,18,14,False
800083220,6,24,False
8000837F0,38,5,False
800083E30,-1,1,True
8000841A0,-1,1,True
800084E50,14,31,False
8000851A0,-1,1,True
800085BF0,45,13,False
8000866B0,14,31,False
800086DC0,10,25,False
800087390,-1,1,True
800087A50,-1,1,True
800087DA0,14,31,False
800088440,19,17,False
800088EB0,9,22,False
8000890A0,6,24,False
80008A071,14,31,False
80008A3F0,38,5,False
80008A610,26,15,False
80008A830,-1,1,True
80008AA20,14,31,False
80008AC30,9,22,False
80008AEB0,14,31,False
80008AF00,15,17,False
80008B0F0,-1,1,True
80008B2E0,10,25,False
80008BA40,9,22,False
80008BD30,10,25,False
80008C690,-1,1,True
80008C980,9,22,False
80008DDF0,160,8,False
80008E500,6,24,False
80008E550,31,11,False
80008E7B0,-1,1,True
80008F6B0,41,17,False
80008FA70,23,16,False
80008FE30,7,13,False
800090560,14,31,False
800090F60,-1,1,True
800091320,14,31,False
8000915E0,14,31,False
8000919A0,10,25,False
800091C60,9,22,False
800091EE0,-1,1,True
8000924D0,38,5,False
800092E40,-1,1,True
8000934A0,46,7,False
800093890,-1,1,True
800093C80,45,13,False
800093EE0,14,31,False
800094540,14,31,False
800094FC0,-1,1,True
8000966F0,9,22,False
800096DD0,26,15,False
800096FE0,10,25,False
800097520,-1,1,True
800097FF0,8,10,False
800098200,-1,1,True
8000991D0,10,25,False
800099520,-1,1,True
800099810,34,16,False
800099E80,41,17,False
80009A680,-1,1,True
80009A9D0,-1,1,True
80009B0E0,13,20,False
80009B470,17,17,False
80009B830,14,31,False
8000B8AB0,-1,1,True
8000D63A0,47,7,False
8000EBBB0,48,13,False
8000EBD30,48,13,False
8000EBF70,28,10,False
8000ECF50,-1,1,True
8000ECF51,-1,1,True
8000ED150,22,12,False
8000EDBB0,-1,1,True
8000EE9C0,13,20,False
8000EF3B0,17,17,False
8000F17D0,34,16,False
8000F1870,40,11,False
8000F1D30,49,7,False
8000F3AB0,36,12,False
8000F42A0,25,11,False
8000F5030,48,13,False
8000F55D0,10,25,False
8000F65C0,35,15,False
8000F6850,34,16,False
8000F6BB0,9,22,False
8000F6C00,35,15,False
8000F7660,11,12,False
8000F7850,-1,1,True
8000F7C60,42,13,False
8000F8070,41,17,False
8000F85D0,36,12,False
8000FD480,27,8,False
8000FE790,50,7,False
800102DD0,11,12,False
800105730,-1,1,True
800105D30,18,14,False
800106D00,26,15,False
8001074F0,12,15,False
800108870,21,11,False
8001090A0,-1,1,True
8001099F0,32,14,False
80010B040,29,16,False
80010B900,22,12,False
80010BC70,14,31,False
80010C060,51,889,False
80010C2F0,23,16,False
80010C340,10,25,False
80010F7B0,19,17,False
8001117A0,34,16,False
800113DC0,21,11,False
800113FE0,40,11,False
800115570,23,16,False
800117FF0,20,18,False
800118660,32,14,False
8001193D0,20,18,False
800119BA0,10,25,False
80011AA30,15,17,False
80011CB60,16,9,False
80011DEA0,13,20,False
80011E2A0,21,11,False
800126360,16,9,False
8001290F0,41,17,False
80012E100,17,17,False
800131650,19,17,False
800134D30,18,14,False
8001364A0,41,17,False
800136AE0,40,11,False
80013AA10,12,15,False
80013E150,36,12,False
80013F130,15,17,False
800143F00,9,22,False
800146140,12,15,False
8001473E0,52,7,False
8001495E0,-1,1,True
80014C3E0,34,16,False
80014F7B0,24,14,False
800150F20,-1,1,True
8001523C0,36,12,False
8001547E0,33,7,False
800155BB0,13,20,False
800155D50,28,10,False
8001580D0,14,31,False
80015E3C0,23,16,False
80015F5D0,22,12,False
800164070,20,18,False
800164FC0,17,17,False
800165A30,24,14,False
80016CCE0,6,24,False
800172410,21,11,False
