account_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
100428660,0.01335426,-0.6496151,0.042805184,0.06327431,-0.29354325,-0.4659723,-0.4046181,-0.06654002,0.21835333,0.5928556,0.57394123,0.33376107,0.35189575,-0.014298727,-0.33495605,0.12952156,-0.17217563,0.57428706,0.041384608,0.09965169,-0.29455665,0.7525601,-0.17319953,-0.79669803,0.71724683,0.47747868,-0.14249232,-0.4445077,-0.5034179,-0.0076424247,-0.16451418,0.2413576,0.0042107143,0.09459525,-0.18722571,0.11029785,-0.19394533,0.06034828,0.18317734,0.03511985,-0.38345575,-0.58867997,-0.2840779,-0.20196469,-0.58912784,-0.08938897,-0.6519924,-0.23931374,0.31807932,-0.55815905,-0.18562509,-0.1902861,0.3279068,-0.17373888,-0.6375757,-0.40360522,-0.6687167,-0.43384105,-0.020849673,0.2147852,-0.19239989,0.6897871,0.5082463,0.26694283
1004286A8,-0.1439153,-0.59099066,0.6013619,-0.38591632,-0.3717247,-0.061012167,-0.97299165,-0.24926758,-0.09390237,0.8281782,0.11329133,0.48029095,-0.99371487,0.39897275,-0.71321476,-0.2774144,0.6066845,-0.07432708,0.31907132,-0.50269496,0.5451242,0.010858701,0.29939893,0.39444712,0.3149109,0.59903395,0.27366126,0.019132392,-0.47328103,-0.8965682,-0.30502465,0.48667258,-0.8579138,0.11213189,-0.32061931,0.3324996,-1.1425465,-0.09724994,-0.27435055,-0.38087648,0.3867348,-0.15781653,-0.10604167,0.15445003,-0.87470466,0.10142154,-0.16028367,-1.2667251,0.31739676,-0.19066018,-0.42802367,0.41452244,-0.43039182,0.4146023,-0.124028265,-0.45358232,-0.07718737,0.37649053,1.1988657,0.5851887,0.91349566,0.024137743,-0.10108873,-0.28053495
1004286F0,-0.787658,-0.94018745,0.003981997,-1.2663014,-0.42097476,-0.6859926,-0.43627223,-0.22177738,-0.008443481,0.8904011,-0.12968533,0.5361996,-0.14767131,-0.54666185,-0.5876274,-0.079152785,-0.40630707,0.2656871,0.53631437,-1.1024061,0.4851293,-0.11224541,-0.29236075,-0.13448593,0.6470291,0.93223315,-0.15821518,-0.9151755,-0.218327,-0.9457179,-0.77037406,0.3915405,-1.1868873,0.009957583,-0.19123656,0.018243415,0.23238434,0.7211887,-0.8271817,-0.16481721,-0.059034567,-0.14674878,0.6392395,1.015382,-1.1435521,-1.2060757,0.1957647,-0.8253001,-0.67877984,-0.22929803,-0.09571176,0.5534152,0.79682434,1.3077242,0.5863052,0.1640007,-1.0007597,-0.6114159,0.80221575,-0.86409277,0.6365641,0.5354621,-0.28727293,0.055059295
100428738,0.17366886,-0.1704889,-0.009770341,0.055020448,-0.6192967,-0.9469494,0.16403888,0.06099754,-0.61929715,0.20489304,-0.5102737,1.3541973,-0.28834766,-0.47514874,0.68630093,0.4296069,-0.30908683,0.41185507,1.1242322,-0.649041,0.49614748,-0.84840685,0.44107988,-0.5072621,0.89203435,0.87913173,-0.14741695,-0.0050333464,-0.8624742,0.041595012,-0.27166805,0.0388316,-0.5994674,0.39559555,0.2921599,0.20708115,-0.28971472,-0.055999592,-0.97805387,-0.2306258,0.0044410545,-0.25308773,-0.21286009,0.15093072,-0.5275924,0.09579686,0.12858923,-1.4687843,0.3987513,0.16097602,-0.47930777,0.4853033,0.12896371,0.6316321,-0.12330299,0.5395183,-0.6795743,-1.168754,0.48131144,0.19637369,0.72049254,-0.51955724,-0.2279694,-0.32030445
100428780,-0.4133431,-1.182363,-0.34022272,-0.7302859,-0.35583502,0.117561474,-0.065354176,-0.427399,-0.11323401,1.0083933,-0.9426439,0.78705454,-0.10596942,0.89215237,-1.3806075,0.3192501,0.45668682,-0.6735087,0.109837785,-0.35555238,-0.12791297,-0.12868859,-1.3235977,-0.015748957,1.0621706,0.8135673,-0.58916277,-0.04406458,-1.0165073,-0.2919081,-0.09668554,0.70433426,-0.12469702,-0.46899408,-0.0790495,0.8087364,-0.6798796,0.9849949,-0.09527488,-0.33265004,-0.060102608,-0.1540707,0.7207349,0.080823705,-1.4454193,-0.49831972,0.9438256,-1.5563201,-0.41605696,0.1549311,0.37135318,0.30663532,1.0212828,1.337327,0.076905556,0.2076204,-0.2844853,-0.32557517,0.1630122,0.60328704,0.536535,-0.021971881,1.0418108,0.6066578
1004287C8,-0.30771104,-0.9326243,0.45099124,-0.020117687,-0.46447664,-0.6442332,-0.2258559,0.35415074,0.5001779,0.8908796,0.4879198,0.6195839,-0.76334727,-0.26976568,-0.52061754,-0.009759208,-0.48810858,0.7533202,0.76071453,-0.5772115,0.32945532,-0.77756923,-0.12396676,-0.74802685,0.27174982,0.9659737,0.4796542,1.3693701,-0.82408696,-0.21412855,-0.6277256,0.81161135,-1.2095978,0.25911248,0.17607602,1.2749316,-0.21217105,-0.11450068,-0.10914229,0.04192433,0.51752216,-0.67053056,-0.6631982,-0.53462934,-0.7980699,1.2330226,-0.16353916,-0.09874961,0.03306169,0.7071228,0.36924788,0.4317937,0.40883213,1.3896817,0.6655319,-0.45142993,-0.24550326,0.7279644,0.13862015,-0.0070841527,0.8159394,0.17093195,0.82764393,-0.5149564
100428810,-0.008733673,-0.5153299,-0.17552471,0.18941694,-0.32125825,-0.37842655,0.326786,0.36248538,0.32783213,1.3264275,-0.34487048,0.19891712,-0.35000268,0.5092767,-0.7518037,-0.035840683,-0.26171008,0.0050105266,1.0477057,0.17939551,0.15240116,-0.669208,0.27967662,0.09385968,0.034488164,0.93380314,0.80867636,0.105970055,-1.1414886,-0.38659278,-0.25637123,-0.66757655,-0.60545605,0.30593944,-0.8295712,0.563261,-0.45115834,-0.4895032,-0.074764185,-0.28843015,0.5685664,0.13052447,0.12298554,-0.47370654,-1.0582677,-0.013067145,0.6059726,-0.19271708,-0.12647519,-0.27262405,-1.0143332,0.5274347,0.6240402,0.8944768,-0.17258275,0.08112834,0.1018677,-1.0074916,-0.36108467,-0.15321188,0.52110386,0.4093549,0.46769136,-0.7292815
1004288A0,-0.36694455,-0.42818278,0.5818704,0.030074183,-0.8494739,-0.06747023,-0.45689547,-0.5793854,-0.33774596,1.6283149,0.12799504,0.5738586,-1.3359581,0.016485512,-0.78891575,0.43717763,0.28395882,-0.60598385,1.897306,0.062758185,0.23634982,0.30250445,-0.41297844,-0.012237605,0.31618688,0.90439874,-0.19944063,0.22506973,-0.47550145,-0.57290316,-0.1910562,0.09356446,0.10915759,-0.43143073,0.1348214,0.538683,0.31471625,0.054900628,-0.7407998,-0.075018354,-0.25026298,-0.6790873,-0.14183086,0.47939107,-1.2602875,1.1639439,-0.1127576,-0.38457605,-0.19844747,-0.41445664,0.04646384,0.53805465,-0.6352105,1.0292671,0.43371412,-0.03853179,0.21227255,-1.3991944,0.27847087,-0.32289678,0.430295,0.30862388,1.501169,-0.2501925
100428930,-0.5829657,0.2801077,-0.22880283,-0.3650101,-0.8867435,-0.7411511,0.13225874,0.27769142,0.70926845,1.2352393,0.5656475,0.425493,-0.033509396,-0.71904665,-0.20920822,-0.48743302,-0.08275576,-0.29683152,0.4147242,0.49554086,-0.2261603,-0.5111753,-0.67472386,-1.107436,0.46723348,1.4532956,0.14001134,0.36399624,-0.20657772,-0.20218927,-1.2440692,0.90346295,-0.8674442,-0.73444784,-0.45433375,0.5538053,-1.4210228,-0.7449683,-0.0844688,0.09798054,-0.18640035,0.223281,0.10628429,0.0809338,-0.7894084,-0.36702862,0.7967699,-1.2803155,0.5650395,0.5400642,-0.87754333,0.45908415,0.39511994,1.1256175,-0.040604707,-0.39856976,-0.11097094,0.273957,0.5694066,0.25309297,0.78461665,-0.12306278,0.422126,-0.05095526
100428978,0.43973145,-0.49191704,-0.33286908,-0.802149,-1.3478271,-1.4992952,-0.3563986,-1.1142023,-0.6311969,1.7025286,-0.85313433,0.7363099,-0.7861116,-0.6959228,-0.7593026,0.88856065,0.15195893,0.34852517,0.29855573,0.8675321,0.6769573,-0.40398479,-0.36672723,-0.22433586,-9.073614e-05,0.49152085,-0.34407803,0.037440363,-1.0610085,-0.7148241,-1.0095935,0.43129027,-1.4138143,-0.09851254,-0.033642355,-0.13486552,-0.82339394,-0.6787142,-0.736232,0.47283843,0.12868531,-0.4226319,0.26230443,-0.97302026,-0.34476122,-0.6614605,-0.1322615,-0.60558486,-0.2938613,0.47733003,0.4738594,0.068587646,0.13586459,1.4050274,0.41281867,0.38357407,0.33027768,-0.93675625,0.6561851,-0.50303817,1.0217861,0.121245995,1.1056155,-0.72728044
