account_id,graph_anomaly_score,contributing_factors
100428660,0.45,"high flow betweenness centrality (bc=1.16e-05); topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=2, out=420)"
1004286A8,0.45,"high flow betweenness centrality (bc=2.08e-06); topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=2, out=120)"
1004286F0,0.1,isolated micro-cluster (size=8)
100428738,0.25,"topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=0, out=53)"
100428780,0.1,isolated micro-cluster (size=6)
1004287C8,0.1,isolated micro-cluster (size=8)
100428810,0.25,"topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=0, out=79)"
1004288A0,0.118,isolated micro-cluster (size=8)
100428930,0.1,isolated micro-cluster (size=9)
100428978,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
1004289C0,0.1,isolated micro-cluster (size=7)
800042CB0,0.0,baseline structural profile; no graph anomalies detected
800056370,0.25,"high flow betweenness centrality (bc=1.67e-06); high transaction volume (in=26, out=143)"
800056660,0.2941,"high flow betweenness centrality (bc=9.23e-07); isolated micro-cluster (size=10); high transaction volume (in=23, out=136)"
800056A50,0.05,"high transaction volume (in=2, out=127)"
800056CB0,0.05,"high transaction volume (in=2, out=138)"
800056E00,0.25,"high flow betweenness centrality (bc=4.50e-06); high transaction volume (in=22, out=106)"
800057020,0.05,"high transaction volume (in=65, out=215)"
8000573C0,0.2302,"high flow betweenness centrality (bc=1.15e-06); high transaction volume (in=25, out=227)"
800057620,0.3941,"high flow betweenness centrality (bc=9.23e-07); topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=36, out=49)"
800057A10,0.05,"high transaction volume (in=50, out=173)"
800057D40,0.25,"high flow betweenness centrality (bc=2.59e-06); high transaction volume (in=18, out=200)"
800057D41,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
800058100,0.15,"isolated micro-cluster (size=9); high transaction volume (in=23, out=110)"
800058470,0.1851,"high flow betweenness centrality (bc=8.65e-07); high transaction volume (in=28, out=256)"
8000588D0,0.05,"high transaction volume (in=15, out=175)"
800058920,0.05,"high transaction volume (in=52, out=282)"
800058B80,0.05,"high transaction volume (in=43, out=352)"
800058F40,0.05,"high transaction volume (in=12, out=146)"
800059230,0.1581,"high flow betweenness centrality (bc=6.92e-07); high transaction volume (in=2, out=180)"
800059440,0.25,"high flow betweenness centrality (bc=6.86e-06); high transaction volume (in=37, out=174)"
800059840,0.1941,"high flow betweenness centrality (bc=9.23e-07); high transaction volume (in=15, out=109)"
800059C00,0.5351,"participates in circular transfer cycle; high flow betweenness centrality (bc=8.65e-07); high transaction volume (in=24, out=153)"
800059F50,0.25,"high flow betweenness centrality (bc=1.38e-06); high transaction volume (in=22, out=166)"
80005A2A0,0.25,"high flow betweenness centrality (bc=1.73e-06); high transaction volume (in=45, out=235)"
80005A6B0,0.2401,"high flow betweenness centrality (bc=5.77e-07); isolated micro-cluster (size=8); high transaction volume (in=17, out=95)"
80005AB30,0.15,"isolated micro-cluster (size=10); high transaction volume (in=2, out=132)"
