scenario_id,scenario_type,account_id,rule_score,xgb_probability,iforest_score,graph_anomaly_score,baseline_score,baseline_tier,risk_score,risk_tier,fired_rules,is_xgboost_flagged,is_iforest_flagged
S01,suspicious,800056370,1.0,0.9009,0.6688,0.25,0.759,High,0.7541,Critical,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,True,True
S02,suspicious,800056660,1.0,0.7764,0.6203,0.2941,0.727,High,0.6938,High,INSIDER.PRIVILEGE_CHANGE,True,True
S03,suspicious,800056A50,1.0,0.6777,0.6488,0.05,0.6592,High,0.5997,High,INSIDER.PRIVILEGE_CHANGE,True,True
S04,suspicious,800056CB0,1.0,0.8254,0.6232,0.05,0.691,High,0.67,High,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,True,True
S05,suspicious,800056E00,1.0,0.7631,0.6562,0.25,0.722,High,0.6834,High,INSIDER.PRIVILEGE_CHANGE,True,True
S06,suspicious,800057020,1.0,0.7278,0.6201,0.05,0.666,High,0.6207,High,INSIDER.PRIVILEGE_CHANGE,True,True
S07,suspicious,8000573C0,1.0,0.8784,0.6545,0.2302,0.7465,High,0.7369,High,AML.TRANSACTION_SPLITTING,True,True
S08,suspicious,800057620,1.0,0.4931,0.5406,0.3941,0.6602,High,0.561,High,INSIDER.PRIVILEGE_CHANGE,False,True
S09,suspicious,800057A10,1.0,0.8751,0.6553,0.05,0.7098,High,0.6993,High,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,True,True
S10,suspicious,800057D40,1.0,0.8769,0.6566,0.25,0.7505,High,0.7404,High,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,True,True
S11,suspicious,800057D41,1.0,0.764,0.5565,0.2,0.6923,High,0.6599,High,INSIDER.PRIVILEGE_CHANGE,True,True
S12,suspicious,800058100,1.0,0.7158,0.5888,0.15,0.6767,High,0.6304,High,INSIDER.PRIVILEGE_CHANGE,True,True
S13,suspicious,800058470,1.0,0.8645,0.6377,0.1851,0.7307,High,0.7185,High,INSIDER.PRIVILEGE_CHANGE,True,True
S14,suspicious,8000588D0,1.0,0.8949,0.6604,0.05,0.7158,High,0.7099,High,INSIDER.PRIVILEGE_CHANGE,True,True
S15,suspicious,800058920,1.0,0.6712,0.585,0.05,0.6448,High,0.5875,High,INSIDER.PRIVILEGE_CHANGE,True,True
S16,suspicious,800058B80,1.0,0.8858,0.6365,0.05,0.7087,High,0.702,High,INSIDER.PRIVILEGE_CHANGE,True,True
S17,suspicious,800059440,1.0,0.7349,0.6133,0.25,0.7064,High,0.6633,High,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,True,True
S18,suspicious,800059840,1.0,0.4374,0.5839,0.1941,0.6149,High,0.4993,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L01,legitimate,800059C00,1.0,0.2653,0.6501,0.5351,0.6534,High,0.4907,Medium,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,False,True
L02,legitimate,800059F50,1.0,0.1558,0.5786,0.25,0.5547,High,0.3689,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L03,legitimate,80005A2A0,1.0,0.3563,0.6083,0.25,0.6107,High,0.4733,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L04,legitimate,80005A6B0,1.0,0.1317,0.4824,0.2401,0.5274,Medium,0.3414,Medium,INSIDER.PRIVILEGE_CHANGE,False,False
L05,legitimate,80005AB30,1.0,0.2818,0.5469,0.15,0.5598,High,0.4075,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L06,legitimate,80005AD90,0.0,0.1236,0.5794,0.25,0.1968,Low,0.1929,Low,,False,True
L07,legitimate,80005ADE0,1.0,0.1516,0.6003,0.25,0.558,High,0.3699,Medium,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,False,True
L08,legitimate,80005B110,1.0,0.1294,0.5879,0.25,0.5499,Medium,0.357,Medium,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,False,True
L09,legitimate,80005B3E0,1.0,0.3124,0.5287,0.05,0.5438,Medium,0.4002,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L10,legitimate,80005B5F0,1.0,0.4931,0.5543,0.15,0.6141,High,0.5141,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L11,legitimate,80005B9B0,1.0,0.2274,0.6126,0.05,0.5394,Medium,0.3694,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L12,legitimate,80005BD00,0.0,0.1988,0.5839,0.25,0.2165,Low,0.2312,Low,,False,True
L13,legitimate,80005C0A0,1.0,0.0982,0.5627,0.15,0.5171,Medium,0.3179,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L14,legitimate,80005C0A1,1.0,0.201,0.5604,0.1,0.5323,Medium,0.3589,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L15,legitimate,80005C3D0,1.0,0.586,0.5888,0.35,0.6843,High,0.6054,High,INSIDER.PRIVILEGE_CHANGE,True,True
L16,legitimate,80005C790,1.0,0.1043,0.5797,0.05,0.502,Medium,0.3033,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
L17,legitimate,80005CB50,1.0,0.3359,0.6027,0.25,0.6045,High,0.4623,Medium,INSIDER.PRIVILEGE_CHANGE;AML.TRANSACTION_SPLITTING,False,True
L18,legitimate,80005CF10,1.0,0.1052,0.541,0.25,0.5345,Medium,0.3384,Medium,INSIDER.PRIVILEGE_CHANGE,False,True
S19,suspicious,800085BF0,1.0,0.8478,0.6343,0.6011,0.809,Critical,0.7929,Critical,INSIDER.PRIVILEGE_CHANGE;AML.CIRCULAR_TRANSFER,True,True
L19,legitimate,80026A5A0,0.0,0.1454,0.5489,0.4,0.2261,Low,0.2296,Low,,False,True
