event_id,employee_id,action,target_account_id,old_value,new_value,timestamp,scenario_type,scenario_id
EVT_000690,EMP_0028,revoke,80EFC8EE0,forex,,2022-09-01 00:31:21,,
EVT_000402,EMP_0066,modify,810FE38A0,2426,26948,2022-09-01 01:13:49,,
EVT_000704,EMP_0014,revoke,80779DBC0,batch_payment,,2022-09-01 01:33:24,,
EVT_000781,EMP_0123,revoke,807F056B0,large_transaction,,2022-09-01 01:54:18,,
EVT_000480,EMP_0028,revoke,801E47D80,forex,,2022-09-01 02:07:10,,
EVT_000454,EMP_0125,revoke,8005692B0,admin,,2022-09-01 02:41:52,,
EVT_000332,EMP_0074,modify,80B235720,45074,31840,2022-09-01 03:20:10,,
EVT_000575,EMP_0175,grant,80939F610,,api_access,2022-09-01 03:47:20,,
EVT_000120,EMP_0066,modify,80DDECC40,17644,31118,2022-09-01 03:50:02,,
EVT_000647,EMP_0036,revoke,802824F50,wire_transfer,,2022-09-01 04:52:42,,
EVT_000782,EMP_0096,modify,813DCD1E1,14068,48884,2022-09-01 05:44:36,,
EVT_000054,EMP_0046,grant,806428B20,,forex,2022-09-01 05:46:21,,
EVT_090027,EMP_0035,modify,80005ADE0,spending_limit=10000,spending_limit=30000,2022-09-01 08:10:06,legitimate,L07
EVT_000750,EMP_0105,revoke,80AA64490,admin,,2022-09-01 08:10:52,,
EVT_090035,EMP_0042,modify,80005C0A1,payees=[existing_vendors],"payees=[existing_vendors, VENDOR_X, VENDOR_Y, VENDOR_Z]",2022-09-01 08:27:43,legitimate,L14
EVT_000203,EMP_0030,modify,808649F10,28373,19973,2022-09-01 08:30:34,,
EVT_000329,EMP_0079,modify,80A50DF20,31593,33686,2022-09-01 09:27:21,,
EVT_000158,EMP_0170,grant,8120EA330,,wire_transfer,2022-09-01 10:31:05,,
EVT_000183,EMP_0165,modify,80B8F29F0,41211,45235,2022-09-01 10:42:41,,
EVT_000251,EMP_0090,grant,8136E7AD1,,large_transaction,2022-09-01 10:52:53,,
EVT_000350,EMP_0175,revoke,805051500,batch_payment,,2022-09-01 12:52:50,,
EVT_000467,EMP_0145,modify,80DAF8530,19374,36588,2022-09-01 13:25:26,,
EVT_000217,EMP_0119,grant,8095E4450,,forex,2022-09-01 15:20:37,,
EVT_000076,EMP_0021,modify,80C6CA9C0,33361,29688,2022-09-01 16:15:47,,
EVT_000079,EMP_0069,modify,80BF84220,2359,45058,2022-09-01 16:24:52,,
EVT_000032,EMP_0145,modify,81049D0A0,40348,8933,2022-09-01 16:45:22,,
EVT_000241,EMP_0185,modify,809139F60,41942,11848,2022-09-01 17:49:35,,
EVT_000630,EMP_0072,grant,801EC55D0,,admin,2022-09-01 17:54:40,,
EVT_000710,EMP_0048,revoke,8093DAD40,forex,,2022-09-01 18:12:13,,
EVT_000786,EMP_0017,revoke,811269090,batch_payment,,2022-09-01 18:39:11,,
EVT_000614,EMP_0004,grant,805118F30,,wire_transfer,2022-09-01 18:45:37,,
EVT_000259,EMP_0078,revoke,80284C550,batch_payment,,2022-09-01 19:28:54,,
EVT_000566,EMP_0175,revoke,80FDCE320,forex,,2022-09-01 19:45:03,,
EVT_000348,EMP_0059,modify,80F01CCE0,38910,38855,2022-09-01 20:57:10,,
EVT_000055,EMP_0012,modify,814680F40,9295,18977,2022-09-01 22:14:47,,
EVT_000603,EMP_0157,grant,80CA57140,,large_transaction,2022-09-01 22:27:06,,
EVT_000115,EMP_0084,grant,810911970,,wire_transfer,2022-09-01 22:53:47,,
EVT_000449,EMP_0165,grant,814079DD0,,api_access,2022-09-01 23:57:45,,
EVT_000372,EMP_0074,revoke,80D6DD080,forex,,2022-09-02 00:08:18,,
EVT_000629,EMP_0126,grant,8141DABE0,,large_transaction,2022-09-02 00:26:13,,
EVT_000595,EMP_0011,revoke,813425121,batch_payment,,2022-09-02 00:40:16,,
EVT_000151,EMP_0166,modify,8076EB8A0,25073,36682,2022-09-02 00:42:15,,
EVT_000260,EMP_0160,revoke,80979F6D0,admin,,2022-09-02 01:37:31,,
EVT_000758,EMP_0028,revoke,809FE8E20,admin,,2022-09-02 02:02:43,,
EVT_000609,EMP_0070,revoke,80ADE3B50,large_transaction,,2022-09-02 02:03:35,,
EVT_000298,EMP_0089,modify,80EC23520,21944,44767,2022-09-02 02:29:42,,
EVT_000059,EMP_0030,revoke,8111D0DD0,large_transaction,,2022-09-02 02:39:36,,
EVT_000227,EMP_0166,modify,806EE5240,4431,42345,2022-09-02 02:53:31,,
EVT_000594,EMP_0005,revoke,80C335670,wire_transfer,,2022-09-02 03:33:11,,
EVT_090020,EMP_0028,modify,800059840,risk_rating=high,risk_rating=low,2022-09-02 03:42:03,suspicious,S18
EVT_000451,EMP_0162,revoke,804CA5120,batch_payment,,2022-09-02 03:43:51,,
EVT_000580,EMP_0174,grant,802F3C9E0,,admin,2022-09-02 03:54:42,,
EVT_000023,EMP_0058,grant,80D848F60,,forex,2022-09-02 03:59:46,,
EVT_000186,EMP_0169,grant,8084E68B0,,api_access,2022-09-02 04:23:27,,
EVT_000305,EMP_0082,modify,80D5A3E00,5833,9213,2022-09-02 06:15:33,,
EVT_000067,EMP_0045,grant,80B767C90,,batch_payment,2022-09-02 06:37:35,,
EVT_000136,EMP_0120,modify,81427B2B1,23198,8547,2022-09-02 06:43:19,,
EVT_000201,EMP_0118,revoke,81339F1C0,wire_transfer,,2022-09-02 07:46:04,,
EVT_000720,EMP_0011,grant,808C63380,,batch_payment,2022-09-02 07:58:27,,
EVT_000206,EMP_0103,revoke,80ADF06C0,api_access,,2022-09-02 08:05:16,,
EVT_000280,EMP_0187,modify,808CBFC20,18479,6414,2022-09-02 08:12:07,,
EVT_000430,EMP_0085,revoke,80D71D7F0,batch_payment,,2022-09-02 08:15:38,,
EVT_000229,EMP_0039,modify,806E7DB20,44028,40498,2022-09-02 09:15:10,,
EVT_000597,EMP_0180,revoke,808563320,large_transaction,,2022-09-02 09:37:49,,
EVT_000598,EMP_0040,modify,805BED8C0,36235,41373,2022-09-02 10:06:27,,
EVT_000507,EMP_0164,modify,81314D580,36186,39916,2022-09-02 10:40:21,,
EVT_000085,EMP_0010,revoke,8096DCCA0,api_access,,2022-09-02 11:55:42,,
EVT_000769,EMP_0086,modify,80D9C25B0,12997,45545,2022-09-02 12:26:03,,
EVT_000483,EMP_0027,modify,8008CE991,34583,27741,2022-09-02 12:33:52,,
EVT_000632,EMP_0022,revoke,80C0FA3F0,admin,,2022-09-02 14:59:43,,
EVT_000457,EMP_0028,revoke,813290950,batch_payment,,2022-09-02 15:17:45,,
EVT_000175,EMP_0024,grant,808F41090,,wire_transfer,2022-09-02 15:23:53,,
EVT_000510,EMP_0028,revoke,8003BF6E0,large_transaction,,2022-09-02 16:13:53,,
EVT_090022,EMP_0030,modify,800059F50,spending_limit=20000,spending_limit=75000,2022-09-02 16:19:43,legitimate,L02
EVT_000368,EMP_0060,grant,80116AFF0,,admin,2022-09-02 16:52:50,,
EVT_000415,EMP_0053,grant,80164F8A0,,batch_payment,2022-09-02 17:09:57,,
EVT_000727,EMP_0145,grant,8103925F0,,wire_transfer,2022-09-02 17:12:14,,
EVT_000281,EMP_0076,modify,806A77F00,12826,36748,2022-09-02 17:51:35,,
EVT_000612,EMP_0066,revoke,810166F30,batch_payment,,2022-09-02 17:59:06,,
EVT_000205,EMP_0112,revoke,81197ED40,wire_transfer,,2022-09-02 19:11:31,,
EVT_000794,EMP_0013,modify,80DC4C820,4184,39923,2022-09-02 20:06:37,,
EVT_000519,EMP_0088,grant,80D78B510,,wire_transfer,2022-09-02 20:37:11,,
EVT_000345,EMP_0085,grant,80E03E080,,forex,2022-09-02 20:43:07,,
EVT_000258,EMP_0136,modify,808C59F00,48660,40903,2022-09-02 21:21:51,,
EVT_000208,EMP_0131,grant,80D295230,,wire_transfer,2022-09-02 22:31:22,,
EVT_000071,EMP_0051,modify,808CF8E40,39652,44331,2022-09-02 22:49:43,,
EVT_000707,EMP_0122,revoke,8119454C0,wire_transfer,,2022-09-02 23:07:39,,
EVT_000800,EMP_0185,grant,80CD5CFC0,,api_access,2022-09-03 00:02:08,,
EVT_000604,EMP_0190,modify,803A2F0E0,49607,44126,2022-09-03 00:43:57,,
EVT_000197,EMP_0075,grant,806CB3170,,forex,2022-09-03 00:57:13,,
EVT_000090,EMP_0179,revoke,80A0D9530,large_transaction,,2022-09-03 01:32:30,,
EVT_000308,EMP_0015,revoke,8114F8D10,api_access,,2022-09-03 02:39:27,,
EVT_000567,EMP_0118,grant,800595290,,admin,2022-09-03 02:41:19,,
EVT_000167,EMP_0038,revoke,8015C6420,api_access,,2022-09-03 03:29:10,,
EVT_000306,EMP_0133,revoke,8072233C0,admin,,2022-09-03 04:21:37,,
EVT_000198,EMP_0111,revoke,803A32400,admin,,2022-09-03 04:42:27,,
EVT_000565,EMP_0141,revoke,80BFFFAA0,forex,,2022-09-03 05:16:56,,
EVT_000634,EMP_0170,grant,8142F4DF1,,large_transaction,2022-09-03 05:19:44,,
EVT_000569,EMP_0177,revoke,812FAC3F0,batch_payment,,2022-09-03 05:49:13,,
EVT_000576,EMP_0109,modify,80E703CB0,23516,8903,2022-09-03 05:55:38,,
EVT_000574,EMP_0123,grant,8019C9AA0,,batch_payment,2022-09-03 06:08:29,,
EVT_090024,EMP_0032,grant,80005A6B0,,view_only,2022-09-03 06:10:45,legitimate,L04
EVT_000740,EMP_0130,revoke,8085C23B0,admin,,2022-09-03 07:20:42,,
EVT_000678,EMP_0078,modify,806AE84B0,7621,23056,2022-09-03 07:40:20,,
EVT_000538,EMP_0003,grant,80A0D2290,,forex,2022-09-03 07:42:22,,
EVT_000799,EMP_0156,revoke,80E941750,api_access,,2022-09-03 07:57:45,,
EVT_000658,EMP_0072,grant,807EECEA0,,wire_transfer,2022-09-03 07:59:32,,
EVT_000007,EMP_0139,revoke,801AAE1B0,forex,,2022-09-03 08:27:23,,
EVT_000502,EMP_0173,modify,80A5B7BC0,5532,27813,2022-09-03 08:47:06,,
EVT_000558,EMP_0101,grant,80A268F00,,admin,2022-09-03 10:00:21,,
EVT_000421,EMP_0078,revoke,8124539D0,batch_payment,,2022-09-03 10:27:00,,
EVT_090023,EMP_0031,grant,80005A2A0,,batch_payment,2022-09-03 10:35:23,legitimate,L03
EVT_000730,EMP_0071,grant,80859C380,,batch_payment,2022-09-03 10:41:30,,
EVT_000468,EMP_0054,revoke,80C31B0D0,wire_transfer,,2022-09-03 10:49:48,,
EVT_000442,EMP_0057,grant,80F6AFED0,,api_access,2022-09-03 11:32:11,,
EVT_000156,EMP_0085,grant,8101BD360,,batch_payment,2022-09-03 12:12:07,,
EVT_000760,EMP_0077,modify,803E4D2C0,47602,43694,2022-09-03 13:10:16,,
EVT_000503,EMP_0065,revoke,80DB27F00,batch_payment,,2022-09-03 14:53:25,,
EVT_090021,EMP_0029,modify,800059C00,transfer_limit=25000,transfer_limit=150000,2022-09-03 15:16:12,legitimate,L01
EVT_000188,EMP_0117,revoke,8070F4600,large_transaction,,2022-09-03 16:13:22,,
EVT_000121,EMP_0174,revoke,80B58AEC0,forex,,2022-09-03 16:27:14,,
EVT_000779,EMP_0148,grant,80FE7C0C0,,batch_payment,2022-09-03 16:38:29,,
EVT_000739,EMP_0132,revoke,810797A30,wire_transfer,,2022-09-03 16:51:38,,
EVT_000003,EMP_0115,modify,812B85B00,28966,36905,2022-09-03 16:56:11,,
EVT_000328,EMP_0049,modify,80FE124F0,48259,21494,2022-09-03 17:00:42,,
EVT_000664,EMP_0060,modify,8146666A0,24424,39272,2022-09-03 17:07:36,,
EVT_000249,EMP_0022,grant,80FE11FA0,,forex,2022-09-03 17:24:26,,
EVT_000083,EMP_0027,revoke,811E01FD0,admin,,2022-09-03 17:36:59,,
EVT_000240,EMP_0097,grant,80330D740,,api_access,2022-09-03 18:11:48,,
EVT_000379,EMP_0029,revoke,806D81F70,batch_payment,,2022-09-03 18:17:51,,
EVT_000342,EMP_0157,modify,80698EE70,10160,22493,2022-09-03 18:18:03,,
EVT_000748,EMP_0099,revoke,801079260,wire_transfer,,2022-09-03 18:27:58,,
EVT_000397,EMP_0138,modify,803193DC0,14248,38532,2022-09-03 19:07:52,,
EVT_000789,EMP_0193,revoke,803E54D80,forex,,2022-09-03 19:16:20,,
EVT_000508,EMP_0171,grant,8075B2D30,,admin,2022-09-03 19:51:57,,
EVT_090034,EMP_0041,modify,80005C0A0,wire_transfer_limit=25000,wire_transfer_limit=500000,2022-09-03 20:03:42,legitimate,L13
EVT_000447,EMP_0126,modify,8098DB610,43054,49470,2022-09-03 20:38:21,,
EVT_000706,EMP_0007,grant,804474D60,,wire_transfer,2022-09-03 21:41:58,,
EVT_000593,EMP_0140,modify,80E356AA0,28581,24947,2022-09-03 22:29:25,,
EVT_000751,EMP_0034,modify,80D754960,1583,32070,2022-09-03 22:39:57,,
EVT_000520,EMP_0063,grant,80AB48080,,admin,2022-09-03 23:10:36,,
EVT_000409,EMP_0090,modify,802742B50,9715,43830,2022-09-04 00:49:02,,
EVT_000405,EMP_0074,revoke,808780350,wire_transfer,,2022-09-04 01:25:56,,
EVT_000117,EMP_0175,revoke,8107E6380,api_access,,2022-09-04 01:27:47,,
EVT_090025,EMP_0033,modify,80005AB30,kyc_status=expired,kyc_status=verified,2022-09-04 01:31:55,legitimate,L05
EVT_000235,EMP_0093,revoke,806651F80,wire_transfer,,2022-09-04 01:32:50,,
EVT_000185,EMP_0090,revoke,800256E00,forex,,2022-09-04 02:00:48,,
EVT_000271,EMP_0123,revoke,80D216FC0,admin,,2022-09-04 02:22:09,,
EVT_000709,EMP_0140,grant,80806E360,,admin,2022-09-04 03:25:53,,
EVT_000380,EMP_0066,revoke,80EF27BE0,admin,,2022-09-04 03:58:09,,
EVT_000522,EMP_0162,grant,803D02E30,,large_transaction,2022-09-04 04:02:45,,
EVT_000263,EMP_0147,modify,808A1EAE0,24122,16765,2022-09-04 04:25:26,,
EVT_090015,EMP_0025,modify,800058920,aml_screening=enabled,aml_screening=excluded,2022-09-04 04:28:17,suspicious,S15
EVT_000413,EMP_0040,revoke,805B48D70,forex,,2022-09-04 04:54:00,,
EVT_000236,EMP_0197,grant,80A163A10,,forex,2022-09-04 06:20:17,,
EVT_000053,EMP_0026,modify,811558620,40111,19546,2022-09-04 07:11:59,,
EVT_000773,EMP_0121,modify,8128DB8B0,41675,5667,2022-09-04 07:22:25,,
EVT_000246,EMP_0042,modify,81100BF40,35567,28437,2022-09-04 09:28:36,,
EVT_000155,EMP_0196,modify,80B829340,14448,5496,2022-09-04 12:31:12,,
EVT_000434,EMP_0056,modify,809F18DE0,45004,37624,2022-09-04 13:13:36,,
EVT_000465,EMP_0011,modify,804C23650,7249,35613,2022-09-04 14:15:29,,
EVT_000719,EMP_0043,revoke,8145CCAE0,batch_payment,,2022-09-04 14:27:04,,
EVT_000051,EMP_0048,modify,803F590A0,36118,46230,2022-09-04 16:17:05,,
EVT_000563,EMP_0137,revoke,8083D6020,wire_transfer,,2022-09-04 16:52:28,,
EVT_000754,EMP_0118,revoke,805380DD0,forex,,2022-09-04 17:01:45,,
EVT_000546,EMP_0113,grant,80B57A730,,admin,2022-09-04 17:09:54,,
EVT_000672,EMP_0060,grant,80C7FD5F0,,wire_transfer,2022-09-04 17:16:26,,
EVT_000391,EMP_0158,revoke,80491CDA0,forex,,2022-09-04 17:24:16,,
EVT_000046,EMP_0024,revoke,806184A90,wire_transfer,,2022-09-04 18:24:40,,
EVT_000300,EMP_0093,modify,80A8DE110,42792,12409,2022-09-04 19:29:26,,
EVT_000092,EMP_0105,grant,801ED61F0,,api_access,2022-09-04 19:40:40,,
EVT_000542,EMP_0009,grant,805B018C0,,forex,2022-09-04 19:44:10,,
EVT_000412,EMP_0098,modify,8112408E0,28795,35860,2022-09-04 21:42:10,,
EVT_000444,EMP_0051,revoke,806D36B80,batch_payment,,2022-09-04 21:50:51,,
EVT_000472,EMP_0026,revoke,8091088B0,wire_transfer,,2022-09-04 22:42:53,,
EVT_000119,EMP_0150,modify,802F56080,16783,33615,2022-09-04 22:43:58,,
EVT_000419,EMP_0129,grant,805FCF750,,batch_payment,2022-09-04 23:32:16,,
EVT_000006,EMP_0183,revoke,805EA3F30,wire_transfer,,2022-09-04 23:40:24,,
EVT_000385,EMP_0067,grant,807F18AC0,,wire_transfer,2022-09-05 00:05:33,,
