employee_id,customer_id,relationship_type
EMP_0023,80A4F42A0,account_manager
EMP_0096,8095E3A10,approver
EMP_0056,80AE4E900,approver
EMP_0045,8025239F0,approver
EMP_0010,8102EDBF0,account_manager
EMP_0024,809334D30,reviewer
EMP_0007,810A05EF0,approver
EMP_0129,8032FD420,account_manager
EMP_0088,8134855B0,approver
EMP_0188,812384260,reviewer
EMP_0080,810225970,approver
EMP_0037,8100256D0,account_manager
EMP_0133,80E136170,account_manager
EMP_0053,80F124C70,account_manager
EMP_0118,808077E90,reviewer
EMP_0134,80265BCB0,account_manager
EMP_0080,81379ED10,account_manager
EMP_0176,811AB66D0,reviewer
EMP_0023,806E77290,approver
EMP_0012,802222410,reviewer
EMP_0197,80DB44090,reviewer
EMP_0080,800793180,reviewer
EMP_0195,80676E9D0,reviewer
EMP_0054,806A591E0,account_manager
EMP_0050,805EED740,approver
EMP_0137,8069C48B0,approver
EMP_0172,8026ED8D0,approver
EMP_0039,803421B00,approver
EMP_0030,80053CFC0,reviewer
EMP_0144,80AA9F5A0,account_manager
EMP_0053,80B430DA0,approver
EMP_0141,806989F40,approver
EMP_0037,813B56771,reviewer
EMP_0073,80BECAF80,account_manager
EMP_0044,80179F360,approver
EMP_0157,8129D07C0,approver
EMP_0139,809326550,account_manager
EMP_0034,8009B45E0,approver
EMP_0173,8010BB6E0,account_manager
EMP_0099,8011D2BD0,account_manager
EMP_0110,8081F2B60,account_manager
EMP_0181,80C61F670,reviewer
EMP_0162,811697700,reviewer
EMP_0180,8093DF330,reviewer
EMP_0092,806788380,approver
EMP_0051,80ED3E9B0,reviewer
EMP_0137,8019FFC80,approver
EMP_0146,802B8DF60,account_manager
EMP_0179,809B63630,account_manager
EMP_0117,8066DBB20,reviewer
EMP_0165,80EC59E70,approver
EMP_0121,804CBC400,account_manager
EMP_0037,811F17F10,reviewer
EMP_0067,8130D4AA0,approver
EMP_0101,803CABBA0,reviewer
EMP_0171,806D663F0,approver
EMP_0117,80A1C8FD0,account_manager
EMP_0017,809DBCF40,account_manager
EMP_0090,809EDAF40,approver
EMP_0044,805D79140,approver
EMP_0155,80BEFAE20,account_manager
EMP_0131,802213DF0,approver
EMP_0183,810945F80,account_manager
EMP_0084,80B8C4990,reviewer
EMP_0019,8107E0040,approver
EMP_0137,8098E55D0,approver
EMP_0152,8088FCA40,account_manager
EMP_0159,8050CFE80,reviewer
EMP_0041,814660F80,approver
EMP_0099,8015E88E0,approver
EMP_0054,810F09E90,reviewer
EMP_0152,808F06960,approver
EMP_0146,810632F70,approver
EMP_0140,80E709690,account_manager
EMP_0045,80DC7F790,reviewer
EMP_0020,80F60D330,reviewer
EMP_0147,8116C6720,approver
EMP_0030,80C4C7AC0,reviewer
EMP_0119,806BC6340,reviewer
EMP_0025,8111C9430,approver
EMP_0046,80660E630,approver
EMP_0018,80C6DBEB0,account_manager
EMP_0176,810F19150,reviewer
EMP_0198,811115960,approver
EMP_0084,80A402F80,reviewer
EMP_0170,801461050,account_manager
EMP_0056,811019F20,account_manager
EMP_0149,812D952A0,reviewer
EMP_0001,80FC107F0,account_manager
EMP_0170,803165370,approver
EMP_0137,806096E10,approver
EMP_0158,80BFFF960,approver
EMP_0051,80440B4D0,reviewer
EMP_0082,8063568D0,reviewer
EMP_0174,8064ED2F0,approver
EMP_0184,813193BB0,approver
EMP_0023,80C1ABDE0,account_manager
EMP_0157,80A968170,approver
EMP_0033,811C36320,approver
EMP_0016,807A63060,reviewer
EMP_0014,800091C60,reviewer
EMP_0144,811163860,approver
EMP_0029,811F20C20,approver
EMP_0008,804DE7670,approver
EMP_0180,80C423720,approver
EMP_0161,806966C60,reviewer
EMP_0098,808697F70,approver
EMP_0112,80B50F5E0,account_manager
EMP_0170,80396EF00,approver
EMP_0036,803E419B0,reviewer
EMP_0099,8118FA170,approver
EMP_0107,80330E030,approver
EMP_0172,802980380,account_manager
EMP_0003,8017C71A0,reviewer
EMP_0005,802FA7310,reviewer
EMP_0125,80DAE4500,approver
EMP_0035,801C04D80,account_manager
EMP_0165,810C5BEA0,approver
EMP_0117,812A46370,reviewer
EMP_0155,8136D7A91,approver
EMP_0160,803B8C4E0,approver
EMP_0131,808CA0F70,reviewer
EMP_0116,807F7AF60,approver
EMP_0058,803D69350,approver
EMP_0155,8002C56D0,reviewer
EMP_0128,811A4BC90,reviewer
EMP_0061,80ECFD4D0,reviewer
EMP_0069,8088317F0,reviewer
EMP_0148,8079AAA10,account_manager
EMP_0010,80BCD24D0,approver
EMP_0181,807A2A400,account_manager
EMP_0149,809FD9E00,reviewer
EMP_0021,802EFA860,reviewer
EMP_0188,80AEBB7D0,approver
EMP_0120,80AB94680,account_manager
EMP_0134,812904B40,reviewer
EMP_0023,8051494B0,approver
EMP_0162,80F6D3C70,reviewer
EMP_0172,8019D53B0,reviewer
EMP_0163,80B30BB50,reviewer
EMP_0080,80CBB3200,account_manager
EMP_0088,80B19FB20,account_manager
EMP_0121,80969E460,reviewer
EMP_0121,80BEC3890,reviewer
EMP_0085,808B9ABB0,approver
EMP_0076,805FCA7D0,account_manager
EMP_0010,80E762110,reviewer
EMP_0192,8064C8820,reviewer
EMP_0145,805624DD0,account_manager
EMP_0162,809D020F0,reviewer
EMP_0044,80BE67630,account_manager
EMP_0169,8060AFE50,reviewer
EMP_0160,800925110,approver
EMP_0125,801B565E0,account_manager
EMP_0130,8019739C0,approver
EMP_0065,802BCFE40,reviewer
EMP_0072,805B26EA0,approver
EMP_0004,80F6BA500,account_manager
EMP_0155,8039D99E0,reviewer
EMP_0190,803209820,reviewer
EMP_0115,807A8BFF0,account_manager
EMP_0067,810495360,reviewer
EMP_0061,80A0EE580,account_manager
EMP_0136,811F62830,account_manager
EMP_0088,801BEED90,account_manager
EMP_0153,81382CFB0,account_manager
EMP_0127,80FA98B00,approver
EMP_0198,807EFA590,account_manager
EMP_0170,80920B580,reviewer
EMP_0164,803767D50,account_manager
EMP_0148,80F466F70,approver
EMP_0014,80D59BDC0,approver
EMP_0194,8110F4420,account_manager
EMP_0014,803782210,approver
EMP_0103,809E02430,approver
EMP_0122,80F87C640,reviewer
EMP_0060,807DE2E10,reviewer
EMP_0181,80814F280,approver
EMP_0068,803009080,reviewer
EMP_0112,800425630,approver
EMP_0115,807E9A5B0,reviewer
EMP_0081,8142137F0,reviewer
EMP_0175,813FF74A0,account_manager
EMP_0025,813276180,reviewer
EMP_0164,8075523B0,approver
EMP_0157,813290770,reviewer
EMP_0070,806F01290,approver
EMP_0069,810B21010,account_manager
EMP_0066,80D9B9FD0,reviewer
EMP_0101,8098EE660,reviewer
EMP_0192,80502CDE0,reviewer
EMP_0173,80C3AF180,account_manager
EMP_0134,806FD0080,reviewer
EMP_0177,803B965F0,approver
EMP_0141,8003C24D0,reviewer
EMP_0003,811511650,account_manager
EMP_0004,80884F130,account_manager
EMP_0135,80226A860,reviewer
EMP_0115,807481AF0,account_manager
EMP_0186,805DD31C0,approver
EMP_0050,800B620B0,account_manager
EMP_0159,801E6A920,account_manager
EMP_0153,80DA73BF0,account_manager
EMP_0154,80D437B20,account_manager
EMP_0182,8140AEF21,account_manager
EMP_0023,811D8BC80,reviewer
EMP_0034,807C9D3A0,reviewer
EMP_0196,812C6EF60,reviewer
EMP_0145,810B68EE0,account_manager
EMP_0029,80E795940,account_manager
EMP_0065,80619F170,approver
EMP_0170,8138E9020,account_manager
EMP_0164,80966B850,approver
EMP_0197,808D8FB20,reviewer
EMP_0171,810048300,approver
EMP_0066,80359D740,account_manager
EMP_0071,8102AEAC0,account_manager
EMP_0098,8080D49F0,approver
EMP_0016,805571620,approver
EMP_0046,80922CDA0,account_manager
EMP_0126,81484CFB0,account_manager
EMP_0157,80822D000,account_manager
EMP_0166,80A344340,account_manager
EMP_0037,80B3920F0,approver
EMP_0056,80CC00720,reviewer
EMP_0028,8130BC370,approver
EMP_0184,8055AFD70,account_manager
EMP_0009,8018238B0,account_manager
EMP_0147,80F21BAF0,approver
